#Zeitstempel	Wert
263100	73.083
263400	72.166
263700	72.027
264000	71.97
264300	71.913
264600	71.856
264900	71.799
265200	71.742
265500	71.591
265800	71.338
266100	71.086
266400	70.833
266700	70.581
267000	70.328
267300	70.019
267600	69.513
267900	68.991
268200	68.469
268500	67.946
268800	67.424
269100	67.233
269400	67.554
269700	67.881
270000	67.841
270300	66.793
270600	65.689
270900	64.584
271200	63.489
271500	63.082
271800	63.116
272100	63.052
272400	62.432
272700	61.726
273000	61.02
273300	60.314
273600	59.727
273900	59.597
274200	59.513
274500	59.429
274800	59.345
275100	59.261
275400	59.18
275700	59.158
276000	59.158
276300	59.158
276600	59.1
276900	58.754
277200	58.369
277500	57.984
277800	57.599
278100	57.214
278400	56.83
278700	56.445
279000	56.06
279300	55.685
279600	55.445
279900	55.245
280200	55.046
280500	54.847
280800	54.65
281100	54.456
281400	54.263
281700	54.069
282000	53.876
282300	53.686
282600	53.498
282900	53.31
283200	53.121
283500	52.933
283800	52.77
284100	52.7
284400	52.639
284700	52.577
285000	52.516
285300	52.449
285600	52.137
285900	51.692
286200	51.247
286500	50.802
286800	50.374
287100	50.292
287400	50.344
287700	50.395
288000	50.447
288300	50.468
288600	50.18
288900	49.813
289200	49.446
289500	49.078
289800	48.711
290100	48.648
290400	49.027
290700	49.41
291000	49.793
291300	50.131
291600	49.758
291900	49.141
292200	48.523
292500	47.905
292800	47.397
293100	47.228
293400	47.082
293700	46.936
294000	46.791
294300	46.66
294600	46.622
294900	46.598
295200	46.575
295500	46.552
295800	46.529
296100	46.505
296400	46.474
296700	46.326
297000	46.137
297300	45.948
297600	45.759
297900	45.576
298200	45.4
298500	45.223
298800	45.046
299100	44.895
299400	44.826
299700	44.763
300000	44.7
300300	44.637
300600	44.574
300900	44.46
301200	44.148
301500	43.817
301800	43.491
302100	43.415
302400	43.475
302700	43.535
303000	43.595
303300	43.655
303600	43.715
303900	43.476
304200	42.651
304500	41.812
304800	41.069
305100	41.373
305400	41.964
305700	42.555
306000	43.146
306300	43.646
306600	43.524
306900	43.283
307200	43.043
307500	42.802
307800	42.561
308100	42.325
308400	42.424
308700	42.726
309000	43.028
309300	43.326
309600	43.014
309900	42.285
310200	41.896
310500	42.206
310800	42.537
311100	42.826
311400	42.61
311700	42.246
312000	41.883
312300	41.52
312600	41.009
312900	40.114
313200	39.224
313500	39.69
313800	40.937
314100	42.184
314400	43.418
314700	43.553
315000	42.975
315300	42.398
315600	41.82
315900	41.243
316200	40.665
316500	40.499
316800	41.229
317100	41.962
317400	41.564
317700	40.586
318000	39.662
318300	39.572
318600	39.771
318900	39.97
319200	40.168
319500	40.312
319800	40.296
320100	40.269
320400	38.79
320700	36.792
321000	37.289
321300	37.792
321600	38.315
321900	38.86
322200	40.746
322500	42.998
322800	42.441
323100	41.605
323400	40.769
323700	39.932
324000	39.105
324300	38.793
324600	38.776
324900	38.76
325200	38.743
325500	38.693
325800	38.465
326100	38.211
326400	37.961
326700	37.722
327000	37.485
327300	37.247
327600	37.01
327900	36.772
328200	36.535
328500	36.297
328800	36.06
329100	35.822
329400	35.585
329700	35.347
330000	35.11
330300	35.023
330600	35.097
330900	35.171
331200	35.246
331500	35.308
331800	35.245
332100	35.15
332400	35.056
332700	34.961
333000	34.923
333300	34.933
333600	34.942
333900	34.951
334200	34.96
334500	34.969
334800	34.978
335100	34.926
335400	34.589
335700	34.264
336000	34.18
336300	34.129
336600	34.078
336900	34.026
337200	33.975
337500	33.924
337800	33.872
338100	33.821
338400	33.769
338700	33.718
339000	33.623
339300	33.465
339600	33.307
339900	33.148
340200	33.038
340500	33.137
340800	33.261
341100	33.385
341400	33.508
341700	33.632
342000	33.756
342300	33.699
342600	33.422
342900	33.144
343200	32.916
343500	32.985
343800	33.103
344100	33.222
344400	33.341
344700	33.401
345000	33.373
345300	33.343
345600	33.313
345900	33.283
346200	33.254
346500	33.224
346800	33.194
347100	33.165
347400	33.135
347700	33.105
348000	33.076
348300	33.046
348600	33.016
348900	32.986
349200	32.957
349500	32.927
349800	32.897
350100	32.868
350400	32.838
350700	32.808
351000	32.779
351300	32.749
351600	32.731
351900	32.735
352200	32.739
352500	32.744
352800	32.748
353100	32.752
353400	32.756
353700	32.76
354000	32.764
354300	32.769
354600	32.773
354900	32.777
355200	32.781
355500	32.785
355800	32.789
356100	32.794
356400	32.654
356700	31.943
357000	31.973
357300	32.021
357600	32.068
357900	32.116
358200	32.163
358500	32.211
358800	32.258
359100	32.301
359400	32.206
359700	32.047
360000	31.889
360300	31.73
360600	31.653
360900	31.694
361200	31.736
361500	31.778
361800	31.819
362100	31.861
362400	31.903
362700	31.945
363000	31.987
363300	32.021
363600	31.702
363900	31.803
364200	31.931
364500	32.058
364800	32.067
365100	31.984
365400	31.902
365700	31.819
366000	31.736
366300	31.654
366600	31.58
366900	31.576
367200	31.586
367500	31.596
367800	31.606
368100	31.616
368400	31.626
368700	31.636
369000	31.645
369300	31.655
369600	31.665
369900	31.675
370200	31.685
370500	31.695
370800	31.694
371100	31.652
371400	31.605
371700	31.559
372000	31.512
372300	31.466
372600	31.42
372900	31.373
373200	31.327
373500	31.28
373800	31.234
374100	31.187
374400	31.086
374700	30.692
375000	30.256
375300	29.864
375600	29.949
375900	30.165
376200	30.381
376500	30.596
376800	30.812
377100	31.028
377400	31.224
377700	30.559
378000	30.126
378300	30.393
378600	30.659
378900	30.857
379200	30.712
379500	30.521
379800	30.329
380100	30.138
380400	29.947
380700	29.756
381000	30.795
381300	34.368
381600	33.062
381900	31.608
382200	31.195
382500	31.272
382800	31.348
383100	31.365
383400	30.905
383700	30.342
384000	29.837
384300	30.467
384600	31.574
384900	36.71
385200	38.591
385500	36.41
385800	34.942
386100	34.841
386400	34.782
386700	34.615
387000	33.182
387300	31.425
387600	30.628
387900	30.525
388200	30.422
388500	30.319
388800	30.216
389100	30.113
389400	30.01
389700	29.907
390000	29.804
390300	29.735
390600	29.842
390900	29.975
391200	30.108
391500	30.241
391800	30.374
392100	30.508
392400	30.596
392700	30.51
393000	30.407
393300	30.303
393600	30.2
393900	30.097
394200	29.994
394500	29.891
394800	29.788
395100	29.759
395400	29.944
395700	30.144
396000	30.343
396300	30.543
396600	30.742
396900	30.942
397200	31.032
397500	30.881
397800	30.723
398100	30.564
398400	30.405
398700	30.247
399000	30.088
399300	29.929
399600	29.771
399900	29.612
400200	29.551
400500	29.588
400800	29.625
401100	29.662
401400	29.699
401700	29.736
402000	29.773
402300	29.805
402600	29.721
402900	29.583
403200	29.444
403500	29.306
403800	29.168
404100	29.029
404400	28.891
404700	29.004
405000	29.767
405300	30.55
405600	30.458
405900	29.83
406200	29.203
406500	28.585
406800	29.03
407100	30.205
407400	30.631
407700	29.513
408000	28.347
408300	27.184
408600	26.924
408900	27.409
409200	28.082
409500	28.919
409800	29.757
410100	30.594
410400	31.259
410700	30.502
411000	29.446
411300	28.39
411600	27.333
411900	26.429
412200	26.326
